sym,exchange,inst,ctype,tick,settlepx,lqt
GEZ5,CME,GE,OT,0.5,9807.5,2021-04-16D14:35:25.302314755
GEZ4,CME,GE,OT,0.5,9845.5,2021-04-16D14:35:25.302728178
GEZ3,CME,GE,OT,0.5,9900.5,2021-04-16D14:35:25.302314755
GEU5,CME,GE,OT,0.5,9817,2021-04-16D14:35:25.514892040
GEU4,CME,GE,OT,0.5,9857.5,2021-04-16D14:35:25.277056033
GEU3,CME,GE,OT,0.5,9914.5,2021-04-16D14:35:25.308503681
GEM5,CME,GE,OT,0.5,9825.5,2021-04-16D14:35:25.302333451
GEM4,CME,GE,OT,0.5,9871.5,2021-04-16D14:35:25.271291710
GEM3,CME,GE,OT,0.5,9936,2021-04-16D14:35:25.302333451
GEH6,CME,GE,OT,0.5,9800.5,2021-04-16D14:35:24.715526146
GEH5,CME,GE,OT,0.5,9835.5,2021-04-16D14:35:24.715526146
GEH4,CME,GE,OT,0.5,9886,2021-04-16D14:35:25.247071939
GE:PB M3-M4-M5,CME,GE,PB,0.25,0,2021-04-16D14:35:17.248988215
SF3U2,ICE,SF3,OT,0.0025,99.84,2021-04-16D14:35:13.114172907
SF3M2-SF3U2,ICE,SF3,SP,0.0025,0.0475,2021-04-16D14:11:11.892823183
SF3M2,ICE,SF3,OT,0.0025,99.8875,2021-04-16D14:35:26.768928398
SR3U2,CME,SR3,OT,0.5,9984.5,2021-04-16D14:35:25.668225036
SR3M2-SR3U2,CME,SR3,SP,0.5,4.5,2021-04-16D14:35:25.668052233
SR3M2,CME,SR3,OT,0.5,9989,2021-04-16D14:35:25.668204629
SR1N1,CME,SR1,OT,0.5,9996,2021-04-16D14:35:18.563965437
SR3Z1,CME,SR3,OT,0.5,9994,2021-04-16D14:35:25.666261827
SF1N1,ICE,SF1,OT,0.0025,99.96,2021-04-16D14:32:30.090029847
BTCJ1,CME,BTC,OT,5,63840,2021-04-16D14:35:24.641883575
BTMK1,ICE,BTM,OT,2.5,64687.5,2021-04-16D14:35:28.479582506
SR3U1,CME,SR3,OT,0.5,9995,2021-04-16D14:35:25.667918437
SR3M1,CME,SR3,OT,0.5,9996,2021-04-16D14:35:25.666200345
SR3H2,CME,SR3,OT,0.5,9992.5,2021-04-16D14:35:25.668052233
SR3:AB 01Y M1,CME,SR3,AB,0.25,9994.5,2021-04-16D14:35:12.407319588
H2OK1,CME,H2O,OT,100,84300,2021-04-16D14:32:43.599283640
YIAM21,CME,YIA,OT,25,999437,2021-04-16D13:57:40.767808969
SR1F2,CME,SR1,OT,0.5,9994,2021-04-16D14:34:51.520410346
SF1J1,ICE,SF1,OT,0.0025,99.985,2021-04-16D14:01:05.833860832
SR1J1,CME,SR1,OT,0.25,9998.75,2021-04-16D14:31:06.315125291
GE:PS M3-M4,CME,GE,PS,0.25,0,2021-04-16D14:35:21.901832901
LH5,ICE,L,OT,0.005,99.1,2021-04-16D14:35:17.257319977
STLH25,CURVE,STL,OT,0.005,99.105,2021-04-16D14:35:17.115861899
SR3M1-GEM1,CME,SR3,IS,0.5,14.5,2021-04-16D14:35:25.666200345
GEM1,CME,GE,OT,0.5,9981.5,2021-04-16D14:35:24.111785286
SNAM23,CURVE,SNA,OT,0.005,99.64,2021-04-16D14:35:15.235481199
SNAH23-SNAM23,CURVE,SNA,SP,0.005,,2021-04-16D14:35:12.130259746
SNAH23,CURVE,SNA,OT,0.005,99.715,2021-04-16D14:35:16.974731768
SONM23,CURVE,SON,OT,0.005,99.64,2021-04-16D14:35:20.798325958
SONH23-SONM23,CURVE,SON,SP,0.005,,2021-04-16D14:35:12.107083051
SONH23,CURVE,SON,OT,0.005,99.715,2021-04-16D14:35:12.107083051
IZ4,ICE,I,OT,0.005,100.2,2021-04-16D14:35:21.917483949
IM5,ICE,I,OT,0.005,100.095,2021-04-16D14:35:21.925523094
IH5,ICE,I,OT,0.005,100.15,2021-04-16D14:35:23.063810180
I:FBUT:Z24+H25+M25,ICE,I,BF,0.005,,2021-04-16D13:31:52.937109649
GEU2,CME,GE,OT,0.5,9967.5,2021-04-16D14:35:25.271305322
SR3U2-GEU2,CME,SR3,IS,0.5,17,2021-04-16D14:35:25.637944473
IZ4-IM5,ICE,I,SP,0.005,0.105,2021-04-16D14:19:34.572324165
IU5,ICE,I,OT,0.005,100.045,2021-04-16D14:35:14.615790746
IU4,ICE,I,OT,0.005,100.25,2021-04-16D14:35:21.916955593
I:FBUT:U24+H25+U25,ICE,I,BF,0.005,,2021-04-16D14:04:31.443185593
IZ5,ICE,I,OT,0.005,99.995,2021-04-16D14:35:14.584178482
IM5-IZ5,ICE,I,SP,0.005,0.1,2021-04-16D14:30:17.544876574
IU4-IH5,ICE,I,SP,0.005,0.1,2021-04-16D14:35:22.093079943
I:FBUT:Z24+M25+Z25,ICE,I,BF,0.005,,2021-04-16D14:30:17.545755680
IH5-IU5,ICE,I,SP,0.005,0.105,2021-04-16D14:04:31.442773606
GEZ2,CME,GE,OT,0.5,9957.5,2021-04-16D14:35:25.271308503
GEZ1,CME,GE,OT,0.5,9974.5,2021-04-16D14:35:21.901811259
GEU1,CME,GE,OT,0.5,9981,2021-04-16D14:35:25.667918437
GEM2,CME,GE,OT,0.5,9973.5,2021-04-16D14:35:25.668666471
GEH3,CME,GE,OT,0.5,9949.5,2021-04-16D14:35:25.308503681
GEH2,CME,GE,OT,0.5,9978,2021-04-16D14:35:23.297355799
GE:FB 05Y M1,CME,GE,FB,0.25,0,2021-04-16D14:35:19.074941511
SR3M2-GEM2,CME,SR3,IS,0.5,15.5,2021-04-16D14:35:25.668204629
SNAZ22,CURVE,SNA,OT,0.005,99.79,2021-04-16D14:35:12.130259746
SNAU22-SNAZ22,CURVE,SNA,SP,0.005,,2021-04-16D14:33:08.560041014
SNAU22,CURVE,SNA,OT,0.005,99.85,2021-04-16D14:33:26.038194838
SONZ22,CURVE,SON,OT,0.005,99.79,2021-04-16D14:35:17.110798624
SONU22-SONZ22,CURVE,SON,SP,0.005,,2021-04-16D14:35:16.997776107
SONU22,CURVE,SON,OT,0.005,99.85,2021-04-16D14:35:17.029334132
LZ3,ICE,L,OT,0.005,99.375,2021-04-16D14:35:20.847409643
LZ2,ICE,L,OT,0.005,99.665,2021-04-16D14:35:17.256603419
LZ1,ICE,L,OT,0.005,99.89,2021-04-16D14:35:16.983993605
LU3,ICE,L,OT,0.005,99.445,2021-04-16D14:35:20.829154232
LU2,ICE,L,OT,0.005,99.73,2021-04-16D14:35:16.985637767
LU1,ICE,L,OT,0.005,99.925,2021-04-16D14:35:21.833689084
LM3,ICE,L,OT,0.005,99.52,2021-04-16D14:35:20.829478823
LM2,ICE,L,OT,0.005,99.78,2021-04-16D14:35:21.960171448
LM1,ICE,L,OT,0.005,99.92,2021-04-16D14:35:16.983993605
LH4,ICE,L,OT,0.005,99.31,2021-04-16D14:35:21.837093812
LH3,ICE,L,OT,0.005,99.595,2021-04-16D14:35:12.138340597
LH2,ICE,L,OT,0.005,99.815,2021-04-16D14:35:02.780257571
L:BND3:M21,ICE,L,FB,0.25,,2021-04-16D14:35:12.148138449
L:PACK:M23,ICE,L,PK,0.25,,2021-04-16D14:35:20.830007214
STLZ22,CURVE,STL,OT,0.005,99.665,2021-04-16D14:35:20.796633051
STLU22,CURVE,STL,OT,0.005,99.73,2021-04-16D14:35:17.098992549
STLM23,CURVE,STL,OT,0.005,99.525,2021-04-16D14:35:20.798325958
STLH23,CURVE,STL,OT,0.005,99.605,2021-04-16D14:35:20.798485966
STL+12U-32Z+33H-13M,CURVE,STL,DF,0.005,,2021-04-16D14:35:20.796633051
STGZ22,CURVE,STG,OT,0.005,99.665,2021-04-16D14:35:12.249488362
